----------------------------------------------------------- | --------
Feature Name                                                | State
----------------------------------------------------------- | --------
Server-Core                                                 | Enabled
NetFx4ServerFeatures                                        | Enabled
NetFx4                                                      | Enabled
NetFx4Extended-ASPNET45                                     | Enabled
DeviceHealthAttestationService                              | Disabled
ActiveDirectory-PowerShell                                  | Disabled
DirectoryServices-AdministrativeCenter                      | Disabled
DirectoryServices-DomainController                          | Disabled
DirectoryServices-ISM-Smtp                                  | Disabled
HostGuardianService-Package                                 | Disabled
AuthManager                                                 | Disabled
IPAMClientFeature                                           | Disabled
FSRM-Infrastructure                                         | Disabled
Microsoft-Windows-FCI-Client-Package                        | Disabled
UpdateServices-RSAT                                         | Disabled
UpdateServices-API                                          | Disabled
UpdateServices-UI                                           | Disabled
UpdateServices                                              | Disabled
UpdateServices-Services                                     | Disabled
UpdateServices-Database                                     | Disabled
UpdateServices-WidDatabase                                  | Disabled
MicrosoftWindowsPowerShellRoot                              | Enabled
MicrosoftWindowsPowerShell                                  | Enabled
iSCSITargetServer-PowerShell                                | Disabled
Tpm-PSH-Cmdlets                                             | Enabled
PKIClient-PSH-Cmdlets                                       | Disabled
KeyDistributionService-PSH-Cmdlets                          | Enabled
TlsSessionTicketKey-PSH-Cmdlets                             | Enabled
RemoteAccessMgmtTools                                       | Disabled
RemoteAccessPowerShell                                      | Disabled
RasServerAdminTools                                         | Disabled
DamgmtTools                                                 | Disabled
Server-Psh-Cmdlets                                          | Enabled
DataCenterBridging-LLDP-Tools                               | Disabled
RemoteAccess                                                | Disabled
RemoteAccessServer                                          | Disabled
RasRoutingProtocols                                         | Disabled
Web-Application-Proxy                                       | Disabled
MicrosoftWindowsPowerShellV2                                | Enabled
WindowsPowerShellWebAccess                                  | Disabled
RightsManagementServices-Role                               | Disabled
RightsManagementServices                                    | Disabled
RMS-Federation                                              | Disabled
RightsManagementServices-AdminTools                         | Disabled
NetworkControllerTools                                      | Disabled
IIS-WebServerRole                                           | Enabled
IIS-WebServer                                               | Enabled
IIS-CommonHttpFeatures                                      | Enabled
IIS-Security                                                | Enabled
IIS-RequestFiltering                                        | Enabled
IIS-StaticContent                                           | Enabled
IIS-DefaultDocument                                         | Enabled
IIS-DirectoryBrowsing                                       | Enabled
IIS-HttpErrors                                              | Enabled
IIS-HttpRedirect                                            | Disabled
IIS-WebDAV                                                  | Disabled
IIS-ApplicationDevelopment                                  | Disabled
IIS-WebSockets                                              | Disabled
IIS-ApplicationInit                                         | Disabled
IIS-NetFxExtensibility                                      | Disabled
IIS-NetFxExtensibility45                                    | Disabled
IIS-ISAPIExtensions                                         | Disabled
IIS-ISAPIFilter                                             | Disabled
IIS-ASPNET                                                  | Disabled
IIS-ASPNET45                                                | Disabled
IIS-ASP                                                     | Disabled
IIS-CGI                                                     | Disabled
IIS-ServerSideIncludes                                      | Disabled
IIS-HealthAndDiagnostics                                    | Enabled
IIS-HttpLogging                                             | Enabled
IIS-LoggingLibraries                                        | Disabled
IIS-RequestMonitor                                          | Disabled
IIS-HttpTracing                                             | Disabled
IIS-CustomLogging                                           | Disabled
IIS-ODBCLogging                                             | Enabled
IIS-CertProvider                                            | Disabled
IIS-BasicAuthentication                                     | Enabled
IIS-WindowsAuthentication                                   | Enabled
IIS-DigestAuthentication                                    | Disabled
IIS-ClientCertificateMappingAuthentication                  | Disabled
IIS-IISCertificateMappingAuthentication                     | Disabled
IIS-URLAuthorization                                        | Enabled
IIS-IPSecurity                                              | Disabled
IIS-Performance                                             | Enabled
IIS-HttpCompressionStatic                                   | Enabled
IIS-HttpCompressionDynamic                                  | Disabled
IIS-WebServerManagementTools                                | Enabled
IIS-ManagementConsole                                       | Enabled
IIS-IIS6ManagementCompatibility                             | Enabled
IIS-Metabase                                                | Enabled
IIS-LegacySnapIn                                            | Enabled
IIS-ManagementScriptingTools                                | Enabled
IIS-ManagementService                                       | Enabled
IIS-WMICompatibility                                        | Disabled
IIS-LegacyScripts                                           | Disabled
IIS-FTPServer                                               | Disabled
IIS-FTPSvc                                                  | Disabled
IIS-FTPExtensibility                                        | Disabled
WAS-WindowsActivationService                                | Disabled
WAS-ProcessModel                                            | Disabled
WAS-NetFxEnvironment                                        | Disabled
WAS-ConfigurationAPI                                        | Disabled
IIS-HostableWebCore                                         | Enabled
BITSExtensions-AdminPack                                    | Disabled
ManagementOdata                                             | Disabled
DSC-Service                                                 | Disabled
BITSExtensions-Upload                                       | Disabled
WCF-HTTP-Activation                                         | Disabled
WCF-NonHTTP-Activation                                      | Disabled
Smtpsvc-Admin-Update-Name                                   | Enabled
Smtpsvc-Service-Update-Name                                 | Enabled
RPC-HTTP_Proxy                                              | Disabled
Printing-InternetPrinting-Server                            | Disabled
Gateway-UI                                                  | Disabled
WebAccess                                                   | Disabled
Gateway                                                     | Disabled
WorkFolders-Server                                          | Disabled
MSMQ                                                        | Disabled
MSMQ-Services                                               | Disabled
MSMQ-DCOMProxy                                              | Disabled
MSMQ-Server                                                 | Disabled
MSMQ-ADIntegration                                          | Disabled
MSMQ-HTTP                                                   | Disabled
MSMQ-Multicast                                              | Disabled
MSMQ-Triggers                                               | Disabled
MSMQ-RoutingServer                                          | Disabled
WCF-Services45                                              | Enabled
WCF-HTTP-Activation45                                       | Disabled
WCF-TCP-PortSharing45                                       | Enabled
WCF-TCP-Activation45                                        | Disabled
WCF-Pipe-Activation45                                       | Disabled
WCF-MSMQ-Activation45                                       | Disabled
IPAMServerFeature                                           | Disabled
IdentityServer-SecurityTokenService                         | Disabled
ADCertificateServicesRole                                   | Disabled
CertificateServices                                         | Disabled
OnlineRevocationServices                                    | Disabled
WebEnrollmentServices                                       | Disabled
NetworkDeviceEnrollmentServices                             | Disabled
CertificateEnrollmentPolicyServer                           | Disabled
CertificateEnrollmentServer                                 | Disabled
Microsoft-Windows-Web-Services-for-Management-IIS-Extension | Disabled
FSRM-Infrastructure-Services                                | Disabled
DirectoryServices-ADAM                                      | Disabled
ServerCore-WOW64                                            | Enabled
Printing-Server-Foundation-Features                         | Disabled
Printing-Server-Role                                        | Disabled
Printing-LPDPrintService                                    | Disabled
Printing-Client                                             | Enabled
Printing-Client-Gui                                         | Enabled
NetFx3ServerFeatures                                        | Enabled
NetFx3                                                      | Enabled
MediaPlayback                                               | Enabled
WindowsMediaPlayer                                          | Enabled
Printing-XPSServices-Features                               | Enabled
LegacyComponents                                            | Disabled
DirectPlay                                                  | Disabled
Windows-Identity-Foundation                                 | Disabled
FailoverCluster-AdminPak                                    | Disabled
HardenedFabricEncryptionTask                                | Disabled
SimpleTCP                                                   | Disabled
SmbDirect                                                   | Enabled
Windows-Defender                                            | Enabled
Server-Manager-RSAT-File-Services                           | Disabled
Server-RSAT-SNMP                                            | Disabled
WINS-Server-Tools                                           | Disabled
BitLocker-RemoteAdminTool                                   | Disabled
BdeAducExtTool                                              | Disabled
RSAT-RDS-Tools-Feature                                      | Disabled
DHCPServer-Tools                                            | Disabled
NetworkLoadBalancingManagementClient                        | Disabled
RightsManagementServicesManagementTools                     | Disabled
Security-SPP-Vmw                                            | Disabled
File-Services-Search-Service                                | Disabled
iSCSITargetStorageProviders                                 | Disabled
BITS                                                        | Disabled
LightweightServer                                           | Disabled
MultipathIo                                                 | Disabled
Printing-PrintToPDFServices-Features                        | Enabled
SNMP                                                        | Disabled
WMISnmpProvider                                             | Disabled
Xps-Foundation-Xps-Viewer                                   | Enabled
SMBBW                                                       | Disabled
MSRDC-Infrastructure                                        | Disabled
WINSRuntime                                                 | Disabled
RasCMAK                                                     | Disabled
Remote-Desktop-Services                                     | Disabled
SBMgr-UI                                                    | Disabled
SessionDirectory                                            | Disabled
AppServer                                                   | Disabled
VmHostAgent                                                 | Disabled
NPAS-Role                                                   | Disabled
FailoverCluster-AutomationServer                            | Disabled
FailoverCluster-CmdInterface                                | Disabled
FRS-Infrastructure                                          | Disabled
ResumeKeyFilter                                             | Disabled
BiometricFramework                                          | Disabled
SetupAndBootEventCollection                                 | Disabled
ServerManager-Core-RSAT                                     | Enabled
ServerManager-Core-RSAT-Role-Tools                          | Disabled
ServerManager-Core-RSAT-Feature-Tools                       | Enabled
ShieldedVMToolsAdminPack                                    | Disabled
Storage-Replica-AdminPack                                   | Disabled
DNS-Server-Tools                                            | Disabled
RSAT-AD-Tools-Feature                                       | Disabled
RSAT-ADDS-Tools-Feature                                     | Disabled
DirectoryServices-DomainController-Tools                    | Disabled
DirectoryServices-ADAM-Tools                                | Disabled
Microsoft-Hyper-V                                           | Disabled
Microsoft-Hyper-V-Offline                                   | Disabled
Microsoft-Hyper-V-Online                                    | Disabled
RSAT-Hyper-V-Tools-Feature                                  | Disabled
Microsoft-Hyper-V-Management-Clients                        | Disabled
Microsoft-Hyper-V-Management-PowerShell                     | Disabled
NetworkVirtualization                                       | Disabled
HostGuardian                                                | Disabled
EnhancedStorage                                             | Disabled
Microsoft-Windows-GroupPolicy-ServerAdminTools-Update       | Disabled
Windows-Internal-Database                                   | Disabled
MultiPoint-Connector                                        | Disabled
MultiPoint-Connector-Services                               | Disabled
MultiPoint-Tools                                            | Disabled
NetworkLoadBalancingFullServer                              | Disabled
PeerDist                                                    | Disabled
P2P-PnrpOnly                                                | Disabled
QWAVE                                                       | Disabled
RemoteAssistance                                            | Disabled
BitLocker                                                   | Disabled
Bitlocker-Utilities                                         | Disabled
FailoverCluster-PowerShell                                  | Disabled
ServicesForNFS-ServerAndClient                              | Disabled
ClientForNFS-Infrastructure                                 | Disabled
ServerForNFS-Infrastructure                                 | Disabled
SMB1Protocol                                                | Disabled
SMB1Protocol-Client                                         | Disabled
SMB1Protocol-Server                                         | Disabled
TFTP                                                        | Disabled
TIFFIFilter                                                 | Disabled
WirelessNetworking                                          | Disabled
Server-Drivers-General                                      | Enabled
Server-Drivers-Printers                                     | Enabled
Server-Shell                                                | Enabled
Microsoft-Windows-Deployment-Services                       | Disabled
Microsoft-Windows-Deployment-Services-Transport-Server      | Disabled
Microsoft-Windows-Deployment-Services-Deployment-Server     | Disabled
BitLocker-NetworkUnlock                                     | Disabled
FaxServiceRole                                              | Disabled
OEM-Appliance-OOBE                                          | Disabled
SearchEngine-Server-Package                                 | Disabled
Server-Gui-Mgmt                                             | Enabled
Server-Gui-Mgmt_onecore                                     | Disabled
RSAT                                                        | Enabled
DfsMgmt                                                     | Disabled
ADCertificateServicesManagementTools                        | Disabled
CertificateServicesManagementTools                          | Disabled
OnlineRevocationServicesManagementTools                     | Disabled
NPSMMC                                                      | Disabled
Licensing-UI                                                | Disabled
Licensing-Diagnosis-UI                                      | Disabled
Microsoft-Windows-Deployment-Services-Admin-Pack            | Disabled
FailoverCluster-Mgmt                                        | Disabled
NFS-Administration                                          | Disabled
WindowsServerBackupSnapin                                   | Enabled
FaxServiceConfigRole                                        | Disabled
NPSManagementTools                                          | Disabled
FSRM-Management                                             | Disabled
Internet-Explorer-Optional-amd64                            | Enabled
ServerMediaFoundation                                       | Disabled
WebDAV-Redirector                                           | Disabled
TelnetClient                                                | Enabled
Printing-LPRPortMonitor                                     | Disabled
Printing-InternetPrinting-Client                            | Disabled
Printing-AdminTools-Collection                              | Disabled
Microsoft-Windows-MultiPoint-Connector                      | Enabled
Microsoft-Windows-PhotoBasic                                | Enabled
Microsoft-Windows-Printing-PremiumTools                     | Enabled
Microsoft-Windows-StorageService                            | Enabled
WindowsServerBackup                                         | Disabled
CCFFilter                                                   | Disabled
FabricShieldedTools                                         | Disabled
FailoverCluster-FullServer                                  | Disabled
Containers                                                  | Disabled
Containers-HNS                                              | Disabled
Containers-SDN                                              | Disabled
DataCenterBridging                                          | Disabled
DiskIo-QoS                                                  | Disabled
ServerMigration                                             | Disabled
SMBHashGeneration                                           | Disabled
SmbWitness                                                  | Disabled
WindowsStorageManagementService                             | Disabled
Storage-Replica                                             | Disabled
Dedup-Core                                                  | Disabled
DFSN-Server                                                 | Disabled
DFSR-Infrastructure-ServerEdition                           | Disabled
FileServerVSSAgent                                          | Disabled
iSCSITargetServer                                           | Disabled
DHCPServer                                                  | Disabled
DNS-Server-Full-Role                                        | Disabled
Licensing                                                   | Disabled
VolumeActivation-Full-Role                                  | Disabled
FileAndStorage-Services                                     | Enabled
Storage-Services                                            | Enabled
File-Services                                               | Enabled
CoreFileServer                                              | Enabled
SystemInsightsManagement                                    | Disabled
SystemInsights                                              | Disabled
ServerCore-Drivers-General                                  | Enabled
ServerCore-Drivers-General-WOW64                            | Enabled
SearchEngine-Client-Package                                 | Enabled
Client-ProjFS                                               | Disabled
SystemDataArchiver                                          | Enabled
ServerCoreFonts-NonCritical-Fonts-MinConsoleFonts           | Enabled
ServerCoreFonts-NonCritical-Fonts-BitmapFonts               | Enabled
ServerCoreFonts-NonCritical-Fonts-TrueType                  | Enabled
ServerCoreFonts-NonCritical-Fonts-UAPFonts                  | Enabled
ServerCoreFonts-NonCritical-Fonts-Support                   | Enabled
HypervisorPlatform                                          | Disabled
VirtualMachinePlatform                                      | Disabled
Microsoft-Windows-Subsystem-Linux                           | Disabled
StorageMigrationServiceManagement                           | Disabled
StorageMigrationService                                     | Disabled
StorageMigrationServiceProxy                                | Disabled
AzureArcSetup                                               | Enabled
Microsoft-Windows-NetworkController-Tools-Package           | Enabled
